iter	Logloss
0	0.6565046863
1	0.6256252908
2	0.5993606976
3	0.5776055523
4	0.5600156838
5	0.5456748858
6	0.5314241385
7	0.5198267919
8	0.5092493904
9	0.5003311076
10	0.491232688
11	0.4833460667
12	0.4762524083
13	0.4694365784
14	0.4636848603
15	0.459072704
16	0.4543912992
17	0.450494917
18	0.4465082988
19	0.4428150444
20	0.4383545082
21	0.4340688715
22	0.4307839369
23	0.4277399249
24	0.4250675964
25	0.4226322996
26	0.4205148234
27	0.41852431
28	0.4164471108
29	0.4154677774
30	0.4138611822
31	0.4125298431
32	0.4109850392
33	0.4097128891
34	0.4091577597
35	0.4082169391
36	0.4075892993
37	0.4068089801
38	0.4061530188
39	0.4054648552
40	0.4050244789
41	0.4041156477
42	0.4035975055
43	0.403361472
44	0.4028967522
45	0.4027009507
46	0.4021479087
47	0.4017397435
48	0.4012946785
49	0.4007836645
50	0.4002664786
51	0.3998332701
52	0.3993596026
53	0.3990897023
54	0.3988809388
55	0.3983238994
56	0.3981054356
57	0.3978958718
58	0.3977427593
59	0.3975056278
60	0.39723603
61	0.397135038
62	0.3968987323
63	0.3964965003
64	0.3961283472
65	0.3960364673
66	0.3960284707
67	0.395944697
68	0.3955747891
69	0.3953414338
70	0.3952360556
71	0.3949376159
72	0.3948418954
73	0.3947934881
74	0.394547319
75	0.3944545568
76	0.3942855724
77	0.3941441087
78	0.3941366943
79	0.3939894271
80	0.3939193015
81	0.3938620576
82	0.3938110395
83	0.3935285258
84	0.3933636973
85	0.3933351316
86	0.3932525212
87	0.3931388097
88	0.3930951035
89	0.3929095878
90	0.392777198
91	0.3926436458
92	0.3925587487
93	0.392555732
94	0.3925205494
95	0.3924879745
96	0.3922793054
97	0.3921992449
98	0.3920800612
99	0.391890038
100	0.3918871326
101	0.3916801792
102	0.3915100773
103	0.3913718391
104	0.3913689962
105	0.3913335893
106	0.3911942383
107	0.3910502916
108	0.3908891641
109	0.3908842301
110	0.3908769314
111	0.3908208847
112	0.3908134077
113	0.3908074699
114	0.3905511023
115	0.3900101287
116	0.3896987247
117	0.3896808205
118	0.3896631066
119	0.3895598308
120	0.3893156115
121	0.3891593297
122	0.3891106857
123	0.3886534657
124	0.3886323427
125	0.3885956549
126	0.3884541661
127	0.3884461955
128	0.3883614939
129	0.388196019
130	0.3881867259
131	0.3881668965
132	0.3881273946
133	0.3879766683
134	0.3878467644
135	0.3874825822
136	0.3872173819
137	0.3871290175
138	0.3870584764
139	0.3868745909
140	0.3867894287
141	0.3865982289
142	0.3865838601
143	0.3861600244
144	0.3860765642
145	0.3860706134
146	0.3859381838
147	0.3856531153
148	0.3856398067
149	0.3855244496
