iter	Passed	Remaining
0	2	338
1	3	262
2	4	230
3	5	211
4	6	201
5	8	193
6	9	186
7	10	186
8	11	187
9	13	188
10	15	201
11	17	203
12	19	202
13	20	200
14	22	204
15	24	202
16	25	199
17	27	199
18	28	198
19	30	196
20	31	196
21	33	192
22	34	190
23	35	188
24	37	185
25	38	183
26	39	180
27	41	178
28	42	177
29	43	173
30	44	172
31	47	175
32	49	174
33	50	173
34	51	170
35	53	168
36	54	166
37	55	164
38	57	163
39	58	161
40	59	159
41	61	158
42	62	156
43	63	153
44	65	151
45	66	150
46	68	149
47	69	147
48	70	145
49	71	143
50	73	142
51	74	140
52	76	139
53	77	137
54	79	137
55	81	136
56	82	134
57	83	132
58	84	130
59	86	129
60	87	127
61	89	126
62	90	124
63	91	123
64	93	121
65	94	120
66	95	118
67	96	116
68	98	115
69	99	113
70	100	111
71	101	110
72	103	108
73	104	107
74	105	105
75	108	105
76	110	104
77	111	103
78	112	101
79	114	99
80	115	98
81	116	96
82	118	95
83	119	94
84	121	92
85	122	90
86	123	89
87	124	87
88	126	86
89	127	85
90	128	83
91	130	82
92	131	80
93	132	79
94	134	77
95	135	76
96	136	74
97	138	73
98	139	71
99	140	70
100	142	68
101	144	68
102	146	66
103	147	65
104	148	63
105	150	62
106	151	60
107	153	59
108	154	58
109	156	56
110	158	55
111	159	54
112	162	53
113	163	51
114	164	50
115	166	48
116	167	47
117	168	45
118	170	44
119	172	43
120	173	41
121	174	40
122	176	38
123	177	37
124	179	35
125	180	34
126	182	33
127	183	31
128	185	30
129	187	28
130	188	27
131	190	25
132	191	24
133	193	23
134	194	21
135	196	20
136	197	18
137	198	17
138	200	15
139	201	14
140	202	12
141	203	11
142	205	10
143	206	8
144	207	7
145	209	5
146	210	4
147	212	2
148	213	1
149	215	0
